Titulo,Precio
BARRA DE CHOCOLATE CON MANÍ JUMBO 40 G,$3.100 
CHOCOLATINA LECHE MILKA 55G,$5.450 
BARRA DE CHOCOLATE SNICKERS 53 G,$4.700 
GALLETA WAFER RECUBIERTA DE CHOCOLATE JET WAFER...,$1.350 
CHOCOPONQUÉ RELLENO HORNEADITOS 37 G,$1.490 
CHORIZO CAMPESINO AHUMADO VIANDÉ 225 GRS,$4.490 
CHORIZO CON TERNERA VIANDÉ 225G,$6.990 
CHORIZO SANTARROSANO VIANDÉ 225 G,$6.990 
CHORIZO VELA + SALAMI LOURISIERRA 80 G,$7.990 
CIRUELA PREMIUM SIN SEMILLA NUTHOS 200 GRS...,$7.350 
CLAVO ENTERO SPECIARIA 20 G,$2.200 
CLUB SOCIAL INTEGRAL 144 G,$4.300 
COCADA TRADICIONAL NORMANDY 240 G,$6.990 
COLORANTE NATURAL CURCUMA SPECIARIA 28 G,$1.990 
COMBO TRADICIONAL VIANDE 900 GR,$10.950 
COMINO SPECIARIA 28 G,$1.990 
CONCHA CAPRÍSSIMA 250 GRS,$1.250 
CONCHAS DORIA 250 G,$2.150 
CONO DE CHOCOLATE OZMO CORNET 25 G,$1.990 
CONSERVA DE PESCADO CARLO FORTE 400 GRS,$6.990 
CONSERVA DE PESCADO EN TINAPA 155 G NETO,$3.700 
CORAZONES HORNEADITOS 20 UND - 210 G,$4.900 
COSTILLA DE CERDO AHUMADA BIG BOB 450 G,$15.950 
CREMA DE AVELLANAS NUZART 350 G,$9.900 
CREMA CHOCOLATE NUCITA 8UN,$5.800 
CREMA DE ALMENDRAS S/A NUTHOS 160G,$14.950 
CREMA DE AVELLANAS DUO NUZART 350 G,$9.900 
CREMA DE POLLO RICO 42G,$1.650 
CREMA POLLO CHAMPIÑONES RICO 42G,$1.650 
CRISTAL DE SÁBILA 250G,$3.690 
CURRY EN POLVO SPECIARIA 28 G,$1.900 
DE TODITO BBQ 250GR,$9.750 
DORITOS FAMILIAR 150 GRS,$5.990 
DULCES ACIDOS OKA LOKA NANOS 40G,$1.750 
DUOPACK ATÚN A.OLIVA CF 160 G NETO,$7.990 
DUOPACK ATÚN EN AGUA C F 160 G NETO,$6.990 
DURAZNO EN ALMÍBAR COOLTIVO 820 G,$10.950 
ENDULZANTE CON STEVIA NATRI 180 G,$6.150 
ENDULZANTE FRASCO 180 GRS,$4.990 
ENSALADA ATÚN CON VEGETALES Y MAÍZ CARLO FORTE ...,$5.990 
ENSALADA CAMPESINA COOLTIVO 300 G,$4.400 
ESENCIA DE VAINILLA SPECIARIA 155ML,$2.990 
ESPARCIBLE DE CANOLA DON OLIO 250 G,$4.600 
ESPARCIBLE DON OLIO LIGHT 250 G,$4.800 
ESPARCIBLE MULTIUSOS RAMA 250 G,$4.700 
ESPARCIBLE VEGETAL DON OLIO 500 G,$7.450 
EXTRUIDO DE MAIZ GUBLINS 70 G,$1.990 
FILETE DE PECHUGA DE PAVO 400G,$14.950 
FILETE DE PESCADO DEL DIA RIVERPEZ 350 G,$14.950 
FLAN DE LECHE CON CARAMELO LATTI 150 G,$3.990 
FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,$5.400 
FRÍJOL CARAOTA GRANIPACK 500 G,$3.290 
FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,$6.550 
FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,$5.200 
FRIJOL REFRITO CRACHOS 300 G,$6.950 
FRÍJOLES ANTIOQUEÑOS COOLTIVO 300G,$5.450 
FUSILLI DELIZIARE X 500 G,$3.990 
GALLETA 2 TACOS DUCALES NOEL 241 GRS,$5.400 
GALLETA BISCOLATA RELLENA 115G,$6.990 
GALLETAS CARMELLO CLASSIC BERGEN 140 G,$4.950 
GALLETA CHIPS DE CHOCOLATE 6 PQ,$6.200 
GALLETA CUCA HORNEADITOS 12 UND - 340 G,$4.650 
GALLETA FRUTOS ROJOS YOGURT CROKAN 180 G...,$5.900 
GALLETA SABOR OLIVA Y ORÉGANO GRETA 120 G...,$4.990 
GALLETA INTEGRAL CON MIEL NATRI 216 G,$3.990 
GALLETA MINI BURGER OZMO 40 GRS,$2.990 
GALLETA DE LECHE MUUU COLOMBINA 216 GRS X 18 UN...,$4.650 
GALLETA NEGRITA BLACK OUT 228 G,$4.950 
GALLETA NOEL QUESO Y MANTEQUILLA 292 GR,$5.990 
GALLETA OREO ORIGINAL 144G,$3.990 
GALLETA RELLENA DE FRUTA NATRI 145 G,$7.990 
GALLETA RITZ TACO 52.5 GRS,$1.800 
GALLETA SALTIN NOEL 5 TACOS 410 G,$5.950 
GALLETA SANDWICH HAPPY BLACK 12 PQ 408g,$6.990 
GALLETA SEMIDULCE 5 TACOS 455 GRS,$6.450 
GALLETAS SANDWICH QUESO DUX,$7.350 
GALLETAS CROKAN CAJA SURTIDA 200 G,$4.990 
GALLETAS DOBLE CHOCOLATE CHALET 120 G,$3.900 
GALLETAS DULCES POSTRE SALTISIMAS 225 G,$4.990 
GALLETAS HAPPY WAFER X 12 UND 288G,$4.650 
GALLETAS INTEGRALES SALTISIMAS 3 TC 378G,$5.490 
GALLETAS MANTEQUILLA SALTÍSIMAS 324 G,$4.490 
GALLETAS MINI CHIPS 8 PQ 280G,$9.500 
GALLETAS NAVIDAD BOLSA 180 GRS,$3.990 
GALLETAS SALTÍSIMAS 300 G,$3.990 
GALLETAS SALADAS SALTISIMAS 6 TACOS 454 G...,$5.650 
GALLETAS VAINILLA 18UN WAFER NOEL 432 GR,$8.990 
GANSITO RAMO 6 UNIDADES 222 G,$9.100 
GARBANZO EL ESTÍO 500 GRS,$2.990 
GELATINA BLANCA TRADICION 1915 168 G,$3.300 
GELATINA SABORES SURTIDOS 4 UND,$4.200 
GOMA DE MASCAR DOUBLEMINT 5 STK,$1.650 
GOMA INFANTIL HUBBA BUBBA,$5.490 
GOMAS FUN MIX GRISSLY 150 GR,$3.400 
GOMAS SURTIDAS TRULULU 150 G,$3.400 
CHOCOLATES RELLENOS DE MANÍ M&MS 49 G,$4.700 
GRANO ENTERO DE QUINUA 300G,$5.250 
GRANOLA COCO Y PASAS FIT GRAAN 350 G,$4.990 
GRANOLA FRUTOS ROJOS FIT GRAAN 350 G,$4.990 
GALLETA HAPPY CREAM LIMON 6 PQ 204 G,$3.650 
GALLETA HAPPY CREAM VAINILLA 12 PQ 408G,$6.490 
GTA RELLENA CHOC BISCOLATA MOOD 40GR,$2.990 
GALLETA HAPPY CREAM FRESA 6 PQ 204 G,$3.650 
GALLETAS SEMIDULCES SALTISIMAS 3 TACOS 315g...,$4.800 
GUACAMOLE CRACHOS 200 G,$3.600 
HABAS SALADITAS 100G,$4.850 
HALLS LIMON Y MIEL 9S,$1.700 
HAMBURGUESA DE RES VIANDÉ 450 G,$9.900 
HAMBURGUESA RANCHERA 400 G,$19.490 
HARINA DE MAIZ AMARILLA PAN 800 G,$2.700 
HARINA DE MAIZ AMARILLO QUICKSY 1000 G,$2.550 
HARINA DE MAIZ BLANCA PAN 800 G,$2.700 
HARINA DE MAIZ BLANCO QUICKSY 1000 G,$2.550 
HARINA DE TRIGO CON POLVO PARA HORNEAR,$2.190 
HARINA DE TRIGO QUICKSY 500 G,$1.800 
HELADOS DE GOMA BEBETO 150 G,$4.600 
HOJUELA DE MAIZ NATURAL FIT GRAAN 300 GR,$4.990 
HOJUELAS AZUCARADAS FIOCCO 300 G,$5.750 
HUEVOS DE CODORNIZ SOL NACIENTE 24 UND,$5.300 
HUEVO TIPO A SOL NACIENTE 30 UND,$12.990 
HUEVO TIPO AA SOL NACIENTE 12 UND,$6.990 
HUEVOS TIPO L KIKES 30 UND,$19.990 
JAMON ASADO AL HORNO CENTURION 100G,$9.900 
JAMÓN DE CERDO PREMIUM VIANDÉ 300 G,$8.500 
JAMÓN DE CERDO VIANDÉ 400 GRS,$7.990 
JAMÓN DE PAVO WHITE HOLLAND 225 G,$10.950 
JAMÓN DE POLLO PREMIUM BRAKEL 250 G,$6.990 
JAMON DE PAVO FINAS HIERBAS,$11.500 
JAMON PECHUGA PAVO WHITE HOLLAND X 230 G,$11.550 
JAMÓN PIETRÁN ESTANDAR 230G,$11.700 
JAMON SERRANO 80 GRS,$7.990 
JENGIBRE EN POLVO SPECIARIA 28 G,$1.990 
KIWI ESTUCHE X 400 G,$7.990 
LAUREL SPECIARIA 20 G,$1.750 
LECHE ASADA TRADICIÓN 1915 120 G,$3.490 
LECHUGA VERDE CRESPA X 180 G,$1.990 
LENGUAS DULCES HORNEADITOS 100 G,$2.450 
LENTEJA EL ESTÍO 500 GRS,$3.300 
LIMON TAHITI X 1000 GR,$4.200 
LONCHERA CHOKIS CHOCOLATE 6UNDS X 114G,$9.800 
LONCHERA SUBMARINOS SURTIDOS 204 G,$7.900 
LONCHERA SURTIDA AZOMPACK 12 UN,$6.750 
LONCHERA SURTIDA FRITOLAY 10 UN 236GR,$10.450 
LONCHERA SURTIDA NATRI 5UN 225G,$8.700 
LONJA DE GUAYABA DULCE NATURALEZA 300 G,$2.150 
LONJAS DE ALMENDRA NUTHOS 100 GR,$8.450 
LYCHEES EN CONSERVA COOLTIVO 567 G NETOS,$11.950 
MACARRÓN CON SALSA DE QUESO DORIA 210 G,$3.990 
MAÍZ GIGANTE FRITO SALADO NUTHOS 200 G,$9.700 
MAÍZ PIRA EL ESTÍO 500 GRS,$2.250 
MAÍZ TIERNO COOLTIVO 340 G,$4.990 
MAIZENA FECULA DE MAÍZ 200G,$6.500 
MANGO VARIEDAD UNIDAD,$3.990 
MANÍ CON PASAS NUTHOS 200 G,$3.950 
MANÍ DULCE NUTHOS 200 G,$4.200 
MANÍ NUTHOS CROCANTE 180 GR,$3.850 
MANI RECUBIERTO CHOCOLATE BESTIES 35 G,$1.750 
MANÍ SALADO NUTHOS 200 G,$3.990 
MANTEQUILLA CLARIFICADA GHEE NATRI 180GR,$11.950 
MANTEQUILLA DE MANÍ 227 GRS,$5.990 
MANZANA ROYAL GALA 1000 GRS,$9.990 
MANZANA VERDE 850 G,$9.300 
MARAÑON SALADO NUTHOS 70 GRS,$5.990 
MASMELOS SURTIDOS MELI MELLOWS 120 GR,$2.990 
MAYONESA BAJA EN GRASA ZEV 500 G,$3.790 
MAYONESA CON MOSTAZA ZEV 200 GRS,$3.300 
MAYONESA FRUCO 480 G,$10.800 
MERMELADA DE MORA ZEV 200 G,$2.490 
MERMELADA SIN AZUCAR NATRI 220GR,$4.990 
MERMELADA SURTIDA TRADICIÓN 1915 300GR,$7.600 
MEZCLA CHOCODIVERTIDA NUTHOS 45 GR,$1.950 
MEZCLA CONDIMENTOS SAZONAREY 35 G,$1.000 
MEZCLA CRUNCHY NUTHOS 180 G,$7.350 
MEZCLA DE AVENA PARA PANCAKES 300 GR,$3.650 
MEZCLA DIVERTIDA NUTHOS 200 G,$4.650 
MEZCLA FRUTOS & SEMILLAS NATRI 150GR,$7.490 
MEZCLA NUECES PREMIUM NUTHOS,$7.100 
MEZCLA PARA ADOBAR DELIKA 110 G,$2.490 
MEZCLA SALADA FRUTOS SECOS NUTHOS 180 G,$5.990 
MEZCLA SENSACIÓN NUTHOS 180 GR,$6.450 
MEZCLAS SURTIDAS NUTHOS 5 UND - 45G,$8.990 
MIEL DE ABEJAS MEEL 350 G,$8.900 
MINI BROWNIES HORNEADITOS 15 UND - 350 G,$9.990 
MINI CROISSANT HORNEADITOS 340 GRS,$3.800 
MINI WAFER BRIDGE 17.2 G,$990.000 
MIXTO MEGA FAMILIAR KYTHOS 350 GR,$9.490 
MOGOLLA BLANCA HORNEADITOS 10 UND - 400 G...,$3.400 
MOGOLLA INTEGR HORNEADITOS 10 UND - 400 G...,$3.400 
MONEDITAS DE PLÁTANO PLATAITOS 6 UND - 60 G...,$10.950 
MORCILLA VIANDÉ 500 GRS,$6.990 
MORINGA EN HOJAS SPECIARIA 8 G,$1.590 
MORITAS DE GOMA BEBETO 150 G,$4.600 
MORTADELA CERVECERA VIANDÉ 225G,$4.990 
MORTADELA FINA VIANDÉ 225 GRS,$2.490 
MORTADELA POLLO PREMIUM BRAKEL 250 G,$3.990 
MOSTAZA ZEV 200 G,$2.300 
NACHOS CRACHOS 200 G,$3.300 
NARANJA X 2000 GR,$5.600 
NUCITA TOY 14G,$2.300 
OBLEAS TRADICION 1915 4 OBLEAS 140G,$6.750 
OREGANO SPECIARIA 20 G,$1.990 
PALITO CON CHOCOLATE BISCOLATA 40 G,$2.990 
PALITROQUES HORNEADITOS 100 G,$2.900 
PAN ÁRABE BACKEREI 5 UND 300 G,$4.200 
PAN TAJADO ARTESANAL INTEGRAL HORNEADITOS 500 G...,$6.490 
PAN CAIMÁN HORNEADITOS 500 G,$4.950 
PAN CHIPS DE CHOCOLATE HORNEADITOS 210 G,$4.490 
PAN DE YUCA HORNEADITOS 10 UND 90 G,$4.950 
PAN HAMBURGUESA HORNEADITOS 4 UND 320 G,$2.490 
PAN INTEGRAL MIEL Y PASAS HORNEADITOS 340 G...,$3.950 
PAN LECHE HORNEADITOS 10 UND 440 GRS,$3.900 
PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,$4.650 
PAN PERRO CON AJONJOLÍ HORNEADITOS 6 UND 370 G...,$3.600 
PAN ARTESANAL HORNEADITOS 500 G,$4.650 
PAN TAJADO BLANCO HORNEADITOS 450 GRS,$3.290 
PAN TAJADO BRIOCHE HORNEADITOS 380 G,$6.900 
PAN TAJADO INTEGRAL HORNEADITOS 450 G,$3.600 
PAN TAJADO MANTEQUILLA 450G,$3.700 
PAN TAJADO MULTIGRANOS 450 G,$5.990 
PAN VITAL FRUTICEREAL 500 G,$8.990 
PANELA PASTILLA 1000 G,$5.990 
PANELA PULVERIZADA EL REFUGIO 500 G,$3.300 
PANELA TRONQUITOS X 900 G,$6.990 
PAPA CAPIRA X 2500 G,$9.990 
PAPAS CASERAS SABOR NATURAL 115GR,$3.900 
PAPAS FOSFORITOS KYTHOS 200 G,$3.600 
PAPAS FRITAS SABOR BBQ KYTHOS 115 G,$3.300 
PAPAS FRITAS SABOR LIMON KYTHOS 115 G,$3.300 
PAPAS FRITAS SABOR POLLO KYTHOS 115 G,$3.300 
PAPAS FRITAS SABOR NATURAL KYTHOS 115 G,$3.300 
PAPAS ONDITAS MAYONESA KYTHOS 115 GR,$3.600 
PAPAYA UNIDAD,$5.990 
PAPRIKA SPECIARIA 28 G,$1.600 
PAQUETÓN MIXTO HORNEADITOS 800 GRS,$6.350 
PASABOCAS MIXTO BBQ KYTHOS 160 G,$4.990 
PASABOCAS MIXTOS SABOR NATURAL KYTHOS 160 G...,$4.990 
PASABOCAS SURTIDOS DOCENA KYTHOS 12 UNDS,$10.490 
PASTA DE AJO DELIKA 110 G,$2.490 
PASTA DE CEBOLLA LARGA DELIKA 110 G,$2.490 
PASTA DE PIMENTÓN DELIKA 110 G,$2.490 
PASTA DE TOMATE ZEV 200 G,$2.800 
PASTEL DE GUAYABA HORNEADITOS 20 UND - 190 G...,$4.900 
"PASTILLAS CHAO CEREZA 20,4G",$1.000 
PASTILLAS DE CHOCOLATE BESTIES 20 G,$1.350 
PATACÓN PISAO PLATAITOS 80 G,$4.400 
PENNE DELIZIARE 500 G,$3.990 
PEPPERONI TAJADO VALDECAVA 60 GR,$4.490 
PERA VERDE IMPORTADA 1000 G,$10.990 
PIMENTÓN UNIDAD,$1.300 
PIMENTONES ASADOS 185G,$6.990 
PIMIENTA MOLIDA SPECIARIA 28 G,$1.490 
PINGÜINOS MARINELA 4 UND - 160 G,$6.990 
PIÑA EN TROZOS AINOA 520 G,$7.950 
PIÑAS GOLDEN UNIDAD,$6.100 
PISTACHO NUTHOS 70 G,$7.450 
PIZZA DE JAMÓN Y QUESO / HAWAIANA BACKEREI 130 ...,$4.490 
PLATANITOS MADUROS KYTHOS 6 UND - 168 G,$5.490 
PLATANITOS MADUROS KYTHOS 135 GR,$3.990 
PLATANITOS VERDES KYTHOS 6 UND - 168 G,$5.490 
PLATANITOS VERDES KYTHOS 135 GR,$3.990 
PLÁTANO HARTÓN 1000 G,$3.150 
POLVO ACIDO OKA LOKA FUSION 14G,$1.200 
PONQUÉ TRADICIONAL HORNEADITOS 220 G,$3.950 
POSTRE TRES LECHES 86 G,$3.990 
PREMEZCLA GALLETAS MANTEQUILLA 350 G,$4.400 
PREMEZCLA PARA PANCAKES QUICKSY 300 G,$3.990 
PREMEZCLA TORTA NARANJA QUICKSY 400 G,$5.250 
PREMEZCLA TORTA VAINILLA QUICKSY 400 G,$5.250 
RAMEN NISSIN SABOR CARNE 85 G,$2.490 
RAMEN NISSIN SABOR POLLO 85 G,$2.490 
RAMEN SABOR A CARNE AJINOMEN X 80 G,$2.490 
RAMEN SABOR A POLLO AJINOMEN X 80 G,$2.490 
RECREO MIX BIMBO 5 UND 148 G,$5.700 
ROLLITO DE GUAYABA CON CENTRO DE AREQUIPE DULCE...,$6.600 
ROSCON RESOBADO BOCADILLO JOSMAR 150 G,$4.400 
ROSQUILLAS HORNEADITOS 12 UND - 192 G,$9.200 
SAL REFISAL 1000 G,$2.300 
SALCHICHA MINIMANGUERA VIANDÉ 480 G,$6.490 
SALCHICHA PARRILLA VIANDE 400 G,$8.490 
SALCHICHA PERRO CALIENTE ZENU X 240G,$8.490 
SALCHICHA PERRO VIANDÉ 240G,$6.190 
SALCHICHA RANCHERA X 230 G X 7 UD,$10.950 
SALCHICHA SÚPER PERRO VIANDÉ,$9.990 
SALCHICHA TIPO PARRILLA BIG BOB 280 G,$8.490 
SALCHICHA TRADICIONAL VIANDE 400 G,$5.800 
SALCHICHA VIENA VIANDÉ 150 G,$3.200 
SALCHICHON CERVECERO VIANDE 650 G,$10.950 
SALCHICHON CERVERONI X900G,$19.950 
SALCHICHÓN DE POLLO BRAKEL 500 G,$5.200 
SALCHICHÓN TRADICIONAL VIANDÉ 500 G,$5.300 
SALSA BBQ MASH 550 G,$6.550 
SALSA BOLOÑESA DELIZIARE 400 G,$7.900 
SALSA BUFFALO WING ZEV 170 G,$4.400 
SALSA CREMA AHUMADA ZEV 200GR,$3.490 
SALSA DE AJÍ PICANTE MASH 175 GR,$2.600 
SALSA DE PIÑA ZEV X 200 GR,$2.800 
SALSA DE QUESO CRACHOS 200 G,$4.800 
SALSA DE SOYA ZEV 178 ML,$1.700 
SALSA DE TOMATE FRUCO 650G,$11.950 
SALSA DE TOMATE OPALKO 390 GR,$5.990 
SALSA DE TOMATE ZEV 500 G,$4.490 
SALSA MAÍZ DULCE ZEV 200GR,$3.490 
SALSA MAYOMOSTAZA ESPECIAS ZEV MOUSTY 200G...,$3.300 
SALSA MAYOMOSTAZA CON ESPECIAS SHOWY 200 GR...,$4.990 
SALSA MAYONESA CON CHIPOTLE 350G,$5.490 
SALSA MEXICANA CRACHOS 220 G,$5.990 
SALSA MIEL MOSTAZA ZEV 200GR,$3.300 
SALSA NAPOLITANA DELIZIARE 400 G,$6.600 
SALSA NEGRA ZEV 190 G,$1.990 
SALSA PARA CARNES ZEV 195 G,$2.100 
SALSA PARA HELADO KULFI 200G,$3.200 
SALSA PESTO VERDE x190g,$7.990 
SALSA ROSADA ZEV 200 G,$2.200 
SALSA TÁRTARA ZEV 200GR,$2.700 
SALSA TERIYAKI ZEV 190 GR,$2.750 
SALSA TIPO GUACAMOLE ZEV 200G,$3.490 
SALTISIMAS CLUB 6 PQ INDIVIDUALES 153g,$3.300 
SEMILLAS SPECIARIA 150G,$5.990 
SEXTA PAPA NATURAL KYTHOS 25 G,$5.950 
SEXTA PAPA SABOR POLLO KYTHOS 25 G,$5.950 
SOPA DE AJIACO RICO 42G,$1.390 
SOPA DE CHOCLO RICO 42G,$1.390 
SPAGUETTI CAPRÍSSIMA 250 GRS,$1.250 
SPAGHETTI DELIZIARE 500 G,$3.990 
SPAGHETTI DORIA 250 G,$2.150 
CARAMELOS MASTICABLES SPARKIES 25 G,$1.400 
SUDAR DE RES RED CUT 500G,$12.490 
SURTIDA DE POLLO MARINADA 500G,$4.990 
SYRUP QUICKSY 355 ML,$6.200 
TABLETA CHOCOLATE HERSHEY°S COOKIES N CREAM ...,$4.990 
TAJADA SURTIDA CASA 5 UND 300 G,$5.900 
TAMAL TOLIMENSE 2 UND 400 G,$8.990 
TIRUDITO SUPERCOCO (8g) 15U,$3.990 
TOCINETA AHUMADA VIANDÉ 150 GRS,$6.300 
TOCINETA MEGA PIGGINS 50 GR,$1.950 
TOCINETA TIPO SANDWICH VIANDÉ 200 G,$8.990 
TOMATE CHERRY 250 GR,$3.990 
TOMATE CHONTO X 1000 G,$2.500 
TOMATE DE ARBOL X 1000G,$4.700 
TOMATES ENTEROS PELADOS DELIZIARE 400 G,$4.490 
TOMATES SECOS AINOA 180 G,$9.250 
TOMILLO SPECIARIA 20 G,$2.200 
TOPPING MEDITERRANEO PARA ENSALADAS NATRI 120G...,$5.490 
TORTA NEGRA HORNEADITOS 80 GRS,$2.200 
TORTILLA BURRITO CRACHOS 8 UND - 580 G,$7.490 
TORTILLA FAJITA CRACHOS 12 UND - 360 G,$5.490 
TORTILLA FINAS HIERBAS CRACHOS 250G,$4.490 
TORTILLA INTEGRAL NATRI 8 UND- 250 G,$3.700 
